study_id,condition
NCT05657704,Post-surgical Pain
NCT05657704,"Pain, Acute"
NCT05657704,Postoperative Pain
NCT06748404,Immunotherapy-related Pruritus
NCT01278004,Cancer
NCT01278004,Peripheral Neuropathy
NCT01671904,Chronic Lymphocytic Leukemia
NCT02500784,Alzheimer's Disease
NCT02500784,Cognitive Dysfunction
NCT01436084,Leukemia
NCT05226533,COVID-19
NCT03600233,Neuroendocrine Tumors
NCT03600233,Pancreatic Neuroendocrine Tumor
NCT03600233,Gastro-enteropancreatic Neuroendocrine Tumor
NCT03600233,Lung Neuroendocrine Neoplasm
NCT03600233,Neuroendocrine Carcinoma
NCT02418533,Infertility
NCT02418533,Fertility
NCT04297033,Cerebral Arteriovenous Malformation
NCT04546633,Uncomplicated Plasmodium Falciparum Malaria
NCT07692152,"Anal Squamous Cell Carcinoma, Limited-stage"
NCT00938652,Breast Cancer
NCT01263652,Pain Relief
NCT02720952,Adrenal Insufficiency
NCT01295047,Marfan Syndrome
NCT02500147,Polycystic Ovary Syndrome
NCT02500147,Non-Alcoholic Fatty Liver Disease
NCT02500147,Metabolic Syndrome
NCT06721247,Bronchial Asthma
NCT02584647,Sarcoma
NCT02584647,Malignant Peripheral Nerve Sheath Tumors
NCT02097238,Recurrent Osteosarcoma
NCT02514538,Hypertension
NCT02514538,Chronic Disease of Musculoskeletal System
NCT01516138,Cardiac Surgery
NCT01516138,Cardiopulmonary Bypass
NCT01361958,Suppression of Ovulation
NCT00769158,Alcoholism
NCT07706348,Acue Postoperative Pain
NCT00483158,Helicobacter Infections
NCT00483158,Urinary Tract Infection
NCT05063058,Melanoma
NCT02622958,Social Anxiety Disorder
NCT00646958,Infectious Skin Diseases
NCT00646958,Bacterial Skin Diseases
NCT00646958,Staphylococcal Skin Infections
NCT00646958,Streptococcal Infections
NCT00646958,Abscess
NCT01755234,Surgery
NCT01755234,Anesthesia
NCT03714334,Glioblastoma
NCT03714334,"Glioblastoma, Adult"
NCT00703534,GERD
NCT00703534,Acid Reflux Disease
NCT00703534,Heartburn
NCT00703534,Regurgitation
NCT02508064,"Infection, Human Immunodeficiency Virus"
NCT07362264,Liver Cancer
NCT06257264,Breast Cancer
NCT06257264,Small Cell Lung Cancer
NCT06257264,Ovarian Cancer
NCT06257264,Gastric Cancer
NCT06257264,Hormone-receptor-positive Breast Cancer
NCT06257264,Hormone Receptor Positive HER-2 Negative Breast Cancer
NCT06257264,Advanced Solid Tumor
NCT06257264,Endometrial Cancer
NCT06257264,Prostate Cancer
NCT06257264,TNBC - Triple-Negative Breast Cancer
NCT06257264,GastroEsophageal Cancer
NCT06257264,Bladder Cancer
NCT02892409,Helicobacter Pylori
NCT01038609,Pain
NCT02205099,Schizophrenia
NCT04195399,Desmoid Fibromatosis
NCT04195399,Recurrent Desmoid Fibromatosis
NCT04195399,Unresectable Desmoid Fibromatosis
NCT00383799,Ventricular Tachycardia
NCT00383799,Wide QRS Tachycardia
NCT05654064,Minimally Invasive Fetoscopic Procedures
NCT00039364,Brain and Central Nervous System Tumors
NCT05934409,Diabetes Mellitus Type 2
NCT00821964,Male Breast Cancer
NCT00821964,Recurrent Breast Cancer
NCT00821964,Skin Metastases
NCT00821964,Stage IV Breast Cancer
NCT02316964,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities
NCT02316964,Adult Acute Myeloid Leukemia With Del(5q)
NCT02316964,Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)
NCT02316964,Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)
NCT02316964,Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)
NCT02316964,Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)
NCT02316964,Recurrent Adult Acute Myeloid Leukemia
NCT02316964,Secondary Acute Myeloid Leukemia
NCT00037609,Breast Neoplasms
NCT00037609,"Metastases, Neoplasm"
NCT01686009,Pain
NCT06620809,Neuromyelitis Optica Spectrum Disorders
NCT06936709,Osteoarthritis of Knee
NCT06936709,Recovery Following Primary Total Knee Arthroplasty
NCT06936709,Perioperative Pain Control
NCT07391709,Priapism
NCT07391709,Reperfusion Injury
NCT05490134,Analgesia
NCT01923064,Gastric Varices
NCT01923064,Portal Hypertension
NCT00216164,"Lymphoma, B-Cell"
NCT00002764,Endometrial Cancer
NCT00002764,Kidney Cancer
NCT00002764,Metastatic Cancer
NCT00002764,Ovarian Cancer
NCT00002764,Pheochromocytoma
NCT00002764,Sarcoma
NCT05503264,NMDAR Autoimmune Encephalitis
NCT05503264,LGI1 Autoimmune Encephalitis
NCT06773364,Suspected Stroke
NCT05646264,Schizophrenia
NCT05646264,Negative Symptoms in Schizophrenia
NCT00358163,Metastatic Non-hematologic Malignancies
NCT00369863,Diabetic Macular Edema
NCT03649763,Carpal Tunnel Syndrome
NCT03001609,"Carcinoma, Non-Small-Cell Lung"
NCT04620109,Corneal Neovascularization
NCT01038063,Malaria
NCT04020263,Cardiogenic Shock
NCT06434363,Autoimmune Disorders
NCT06434363,Systemic Sclerosis
NCT06434363,Systemic Lupus Erythematosus
NCT06434363,Lupus
NCT06434363,Lupus Nephritis
NCT07287163,"Epilepsy, Tonic-Clonic"
NCT07287163,Focal Seizure
NCT07287163,Primary Generalized Seizure
NCT04749563,Dementia of Alzheimer Type
NCT02342314,Healthy
NCT03690414,Myopia
NCT06510114,Graves Ophthalmopathy
NCT02891616,Melanoma
NCT01070316,Epilepsy
NCT01070316,Tuberous Sclerosis Complex
NCT03770416,Central Nervous System B-Cell Non-Hodgkin Lymphoma
NCT03770416,Recurrent Central Nervous System Lymphoma
NCT03770416,Refractory Central Nervous System Lymphoma
NCT01867216,"Diabetes Mellitus, Type 2"
NCT02937116,"Cancer, Solid Tumor"
NCT05980806,Myelofibrosis
NCT05980806,Moderate Thrombocytopenia
NCT05980806,Mild Thrombocytopenia
NCT03556384,Gastrointestinal Stromal Tumors
NCT03556384,Sdh
NCT03556384,GIST
NCT03556384,Cancer
NCT05901584,Immunotherapy
NCT05901584,Second-line Treatment
NCT01050933,Healthy
NCT00142233,Pancreatitis
NCT01703533,Rett Syndrome
NCT02054052,Non-small Cell Lung Cancer
NCT02054052,Malignant Pleural Effusion
NCT00964249,"Pulmonary Disease, Chronic Obstructive"
NCT06699849,Sickle Cell Disease Vaso-occlusive Crisis
NCT05369949,"Heart Defects, Congenital"
NCT05358249,KRAS G12C Mutant Solid Tumors
NCT05358249,"Carcinoma, Non-Small Cell Lung"
NCT05358249,"Carcinoma, Non-Small-Cell Lung"
NCT05358249,Non-Small Cell Lung Cancer
NCT05358249,Non-Small Cell Lung Carcinoma
NCT05358249,Nonsmall Cell Lung Cancer
NCT05358249,Colorectal Cancer
NCT05358249,Colorectal Carcinoma
NCT05358249,Colorectal Neoplasms
NCT05358249,Colorectal Tumors
NCT05358249,"Neoplasms, Colorectal"
NCT00327249,Multiple Myeloma
NCT07213349,Alzheimer Disease (AD)
NCT00981149,Temporomandibular Joint Disorders
NCT01061749,Adult Solid Neoplasm
NCT01434849,Infantile Hemangioma
NCT01434849,Very Low Birth Weight Infants
NCT02572349,Healthy
NCT01681849,PTSD
NCT06874049,Cervical Ripening and Induction of Labor
NCT01514149,Type 2 Diabetes Mellitus (T2DM)
NCT00563849,Rheumatoid Arthritis
NCT00548249,End-Stage Renal Disease (ESRD)
NCT01320449,Substance Abuse Problem
NCT01367249,Pain
NCT01367249,Inflammation
NCT01367249,Cataract
NCT00507949,Chronic Obstructive Pulmonary Disease
NCT04444349,Cardiovascular Disease
NCT01521949,Prostate Cancer
NCT00485849,Attention Deficit Hyperactivity Disorder
NCT07436949,Chronic Rhinosinusitis With Nasal Polyps (CRSwNP)
NCT01739049,Binge Eating Behaviour
NCT03852849,Viral Suppression of HIV Infection
NCT01988649,Pain
NCT01304849,Hodgkin's Lymphoma
NCT00745849,Vasomotor Rhinitis
NCT05403749,Neovascular Age-related Macular Degeneration
NCT01206049,Cholangiocarcinoma
NCT01333449,Myelodysplastic Syndrome
NCT05380349,Newly Diagnosed Glioblastoma
NCT04671849,"Advanced or Metastatic Solid Tumors With NTRK, ROS1 or ALK Gene Fusion"
NCT05347849,Pharmacokinetics in Healthy Adults
NCT03699449,Platinum-resistant Recurrent Ovarian Cancer
NCT01420549,Hypercholesterolemia
NCT01420549,Dyslipidemia
NCT00923949,Non-Small-Cell Lung Cancer
NCT00712049,Dyslipidemia
NCT00712049,Atherosclerosis
NCT05644249,Gastric Cancer
NCT05644249,Peritoneal Carcinomatosis
NCT02851849,Type 2 Diabetes Mellitus
NCT00511849,Neoplasms
NCT07462949,Elective Surgery
NCT07462949,Target Controlled Infusion (TCI)
NCT07462949,Noxious Stimuli
NCT07462949,Tracheal Intubation Stimulation
NCT01356849,Chronic Kidney Disease
NCT01356849,Diabetic Nephropathy
NCT04164238,Head and Neck Squamous Cell Carcinoma
NCT01423838,Overactive Bladder
NCT00544258,Actinic Keratoses
NCT00437658,Endometriosis
NCT00616655,Generalized Anxiety Disorder
NCT01790555,Pain
NCT00976755,Prostate Cancer
NCT01789255,Accelerated Phase Chronic Myelogenous Leukemia
NCT01789255,Adult Acute Myeloid Leukemia in Remission
NCT01789255,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities
NCT01789255,Adult Acute Myeloid Leukemia With Del(5q)
NCT01789255,Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)
NCT01789255,Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)
NCT01789255,Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)
NCT01789255,Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)
NCT01789255,Adult Grade III Lymphomatoid Granulomatosis
NCT01789255,B-cell Chronic Lymphocytic Leukemia
NCT01789255,"Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
NCT01789255,Chronic Myelomonocytic Leukemia
NCT01789255,Chronic Phase Chronic Myelogenous Leukemia
NCT01789255,Contiguous Stage II Adult Burkitt Lymphoma
NCT01789255,Contiguous Stage II Adult Diffuse Large Cell Lymphoma
NCT01789255,Contiguous Stage II Adult Diffuse Mixed Cell Lymphoma
NCT01789255,Contiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma
NCT01789255,Contiguous Stage II Adult Immunoblastic Large Cell Lymphoma
NCT01789255,Contiguous Stage II Adult Lymphoblastic Lymphoma
NCT01789255,Contiguous Stage II Grade 1 Follicular Lymphoma
NCT01789255,Contiguous Stage II Grade 2 Follicular Lymphoma
NCT01789255,Contiguous Stage II Grade 3 Follicular Lymphoma
NCT01789255,Contiguous Stage II Mantle Cell Lymphoma
NCT01789255,Contiguous Stage II Marginal Zone Lymphoma
NCT01789255,Contiguous Stage II Small Lymphocytic Lymphoma
NCT01789255,Cutaneous B-cell Non-Hodgkin Lymphoma
NCT01789255,Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue
NCT01789255,Graft Versus Host Disease
NCT01789255,Intraocular Lymphoma
NCT01789255,Myelodysplastic Syndrome With Isolated Del(5q)
NCT01789255,"Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable"
NCT01789255,Nodal Marginal Zone B-cell Lymphoma
NCT01789255,Noncontiguous Stage II Adult Burkitt Lymphoma
NCT01789255,Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma
NCT01789255,Noncontiguous Stage II Adult Diffuse Mixed Cell Lymphoma
NCT01789255,Noncontiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma
NCT01789255,Noncontiguous Stage II Adult Immunoblastic Large Cell Lymphoma
NCT01789255,Noncontiguous Stage II Adult Lymphoblastic Lymphoma
NCT01789255,Noncontiguous Stage II Grade 1 Follicular Lymphoma
NCT01789255,Noncontiguous Stage II Grade 2 Follicular Lymphoma
NCT01789255,Noncontiguous Stage II Grade 3 Follicular Lymphoma
NCT01789255,Noncontiguous Stage II Mantle Cell Lymphoma
NCT01789255,Noncontiguous Stage II Marginal Zone Lymphoma
NCT01789255,Noncontiguous Stage II Small Lymphocytic Lymphoma
NCT01789255,Post-transplant Lymphoproliferative Disorder
NCT01789255,Primary Central Nervous System Hodgkin Lymphoma
NCT01789255,Primary Central Nervous System Non-Hodgkin Lymphoma
NCT01789255,Recurrent Adult Acute Myeloid Leukemia
NCT01789255,Recurrent Adult Burkitt Lymphoma
NCT01789255,Recurrent Adult Diffuse Large Cell Lymphoma
NCT01789255,Recurrent Adult Diffuse Mixed Cell Lymphoma
NCT01789255,Recurrent Adult Diffuse Small Cleaved Cell Lymphoma
NCT01789255,Recurrent Adult Grade III Lymphomatoid Granulomatosis
NCT01789255,Recurrent Adult Hodgkin Lymphoma
NCT01789255,Recurrent Adult Immunoblastic Large Cell Lymphoma
NCT01789255,Recurrent Adult Lymphoblastic Lymphoma
NCT01789255,Recurrent Grade 1 Follicular Lymphoma
NCT01789255,Recurrent Grade 2 Follicular Lymphoma
NCT01789255,Recurrent Grade 3 Follicular Lymphoma
NCT01789255,Recurrent Mantle Cell Lymphoma
NCT01789255,Recurrent Marginal Zone Lymphoma
NCT01789255,Recurrent Small Lymphocytic Lymphoma
NCT01789255,Refractory Anemia
NCT01789255,Refractory Anemia With Excess Blasts
NCT01789255,Refractory Anemia With Ringed Sideroblasts
NCT01789255,Refractory Chronic Lymphocytic Leukemia
NCT01789255,Refractory Cytopenia With Multilineage Dysplasia
NCT01789255,Refractory Hairy Cell Leukemia
NCT01789255,Relapsing Chronic Myelogenous Leukemia
NCT01789255,Secondary Central Nervous System Hodgkin Lymphoma
NCT01789255,Secondary Central Nervous System Non-Hodgkin Lymphoma
NCT01789255,Small Intestine Lymphoma
NCT01789255,Splenic Marginal Zone Lymphoma
NCT01789255,Stage I Adult Burkitt Lymphoma
NCT01789255,Stage I Adult Diffuse Large Cell Lymphoma
NCT01789255,Stage I Adult Diffuse Mixed Cell Lymphoma
NCT01789255,Stage I Adult Diffuse Small Cleaved Cell Lymphoma
NCT01789255,Stage I Adult Hodgkin Lymphoma
NCT01789255,Stage I Adult Immunoblastic Large Cell Lymphoma
NCT01789255,Stage I Adult Lymphoblastic Lymphoma
NCT01789255,Stage I Chronic Lymphocytic Leukemia
NCT01789255,Stage I Grade 1 Follicular Lymphoma
NCT01789255,Stage I Grade 2 Follicular Lymphoma
NCT01789255,Stage I Grade 3 Follicular Lymphoma
NCT01789255,Stage I Mantle Cell Lymphoma
NCT01789255,Stage I Marginal Zone Lymphoma
NCT01789255,Stage I Small Lymphocytic Lymphoma
NCT01789255,Stage II Adult Hodgkin Lymphoma
NCT01789255,Stage II Chronic Lymphocytic Leukemia
NCT01789255,Stage III Adult Burkitt Lymphoma
NCT01789255,Stage III Adult Diffuse Large Cell Lymphoma
NCT01789255,Stage III Adult Diffuse Mixed Cell Lymphoma
NCT01789255,Stage III Adult Diffuse Small Cleaved Cell Lymphoma
NCT01789255,Stage III Adult Hodgkin Lymphoma
NCT01789255,Stage III Adult Immunoblastic Large Cell Lymphoma
NCT01789255,Stage III Adult Lymphoblastic Lymphoma
NCT01789255,Stage III Chronic Lymphocytic Leukemia
NCT01789255,Stage III Grade 1 Follicular Lymphoma
NCT01789255,Stage III Grade 2 Follicular Lymphoma
NCT01789255,Stage III Grade 3 Follicular Lymphoma
NCT01789255,Stage III Mantle Cell Lymphoma
NCT01789255,Stage III Marginal Zone Lymphoma
NCT01789255,Stage IV Adult Burkitt Lymphoma
NCT01789255,Stage IV Adult Diffuse Large Cell Lymphoma
NCT01789255,Stage IV Adult Diffuse Mixed Cell Lymphoma
NCT01789255,Stage IV Adult Diffuse Small Cleaved Cell Lymphoma
NCT01789255,Stage IV Adult Hodgkin Lymphoma
NCT01789255,Stage IV Adult Immunoblastic Large Cell Lymphoma
NCT01789255,Stage IV Adult Lymphoblastic Lymphoma
NCT01789255,Stage IV Chronic Lymphocytic Leukemia
NCT01789255,Stage IV Grade 1 Follicular Lymphoma
NCT01789255,Stage IV Grade 2 Follicular Lymphoma
NCT01789255,Stage IV Grade 3 Follicular Lymphoma
NCT01789255,Stage IV Mantle Cell Lymphoma
NCT01789255,Stage IV Marginal Zone Lymphoma
NCT01789255,Stage IV Small Lymphocytic Lymphoma
NCT01789255,Testicular Lymphoma
NCT01789255,Waldenström Macroglobulinemia
NCT02857244,Parkinson's Disease
NCT03507244,Leptomeningeal Metastasis
NCT01805934,Rescue Therapy for Helicobacter Pylori
NCT02604134,Dental Caries
NCT05492734,Muscular Dystrophies
NCT00711464,Schizophrenia
NCT03165864,Thalassemia
NCT04895709,Cervical Cancer
NCT04895709,Gastric/Gastroesophageal Junction Adenocarcinoma
NCT04895709,Microsatellite Stable Colorectal Cancer
NCT04895709,Non-Small-Cell Lung Cancer
NCT04895709,Squamous Cell Carcinoma of Head and Neck
NCT04895709,"Carcinoma, Renal Cell"
NCT04895709,Urothelial Carcinoma
NCT04895709,Pancreatic Adenocarcinoma
NCT04895709,Melanoma
NCT04895709,Ovarian Neoplasms
NCT04895709,Triple Negative Breast Neoplasms
NCT01973309,Metastatic Breast Cancer
NCT04002934,Multiple Sclerosis
NCT04002934,"Multiple Sclerosis, Relapsing-Remitting"
NCT02912364,Epilepsy
NCT03646864,Chronic Obstructive Pulmonary Disease
NCT07444164,Healthy
NCT01322464,Food Effect
NCT01674309,Adenocarcinoma of Rectum
NCT02441244,HIV-1 Infection
NCT00773344,Solid Tumors
NCT00773344,Breast Cancer
NCT00296634,Influenza
NCT00429234,Advanced Cancer
NCT00429234,Solid Tumors
NCT00746434,Plaque Psoriasis
NCT05726734,Helicobacter Pylori Infection
NCT00594464,Parkinson's Disease
NCT01296464,Parkinson's Disease
NCT01555632,Recurrent Prostate Cancer
NCT01555632,Stage I Prostate Cancer
NCT01555632,Stage IIA Prostate Cancer
NCT01555632,Stage IIB Prostate Cancer
NCT01555632,Stage III Prostate Cancer
NCT01555632,Stage IV Prostate Cancer
NCT04251832,Sodium Thiosulfate
NCT04251832,Calcific Tendinitis
NCT04251832,Shoulder Pain
NCT02385032,Healthy
NCT05216432,PIK3CA Mutation
NCT05216432,"Solid Tumor, Adult"
NCT05216432,HER2-negative Breast Cancer
NCT05216432,Breast Cancer
NCT05216432,Metastatic Breast Cancer
NCT05216432,Advanced Breast Cancer
NCT05216432,Unresectable Solid Tumor
NCT02620332,Type 1 Diabetes
NCT01896232,Secondary Hyperparathyroidism
NCT01896232,Chronic Kidney Disease
NCT05385432,Renal Transplant Rejection
NCT05385432,Induction Therapy
NCT00059332,Cerebrovascular Accident
NCT03578432,Salivary Gland Dysfunction
NCT03578432,Xerostomia
NCT03578432,Head and Neck Cancer
NCT03560232,Open Fracture
NCT03560232,Post-Op Wound Infection
NCT03194932,Acute Myeloid Leukemia
NCT06837532,Ultrasound
NCT06837532,Surgical
NCT06837532,Rectus Sheath Block
NCT06837532,Local Anesthesia Infiltration
NCT06837532,Postoperative Analgesia
NCT06837532,Total Abdominal Hysterectomy
NCT01505998,Fed
NCT03050164,Bioequivalence Study
NCT01029509,Leukemia
NCT02841098,Asymptomatic Carotid Artery Stenosis
NCT04030598,Hereditary Angioedema
NCT03801798,Hepatitis B
NCT01130298,Healthy
NCT07686198,Photodamaged Skin
NCT06583863,Ulcerative Colitis
NCT07535463,Non-Small Cell Lung Cancer
NCT04873063,Healthy Adult Male Volunteers
NCT05239663,Chemotherapy-Related Cognitive Impairment
NCT05239663,Breast Cancer
NCT06647563,Squamous Cell Carcinoma of Head and Neck
NCT01929863,"Diabetes Mellitus, Type 2"
NCT06687993,Anorexia Nervosa Restricting Type
NCT00896493,Mycoses
NCT00896493,Sezary Syndrome
NCT00896493,"Lymphoma, T-Cell, Cutaneous"
NCT00896493,Bone Marrow Transplant Failure
NCT00896493,"Lymphoma, Non-Hodgkin"
NCT00896493,Cutaneous T-cell Lymphoma
NCT07064993,Knee Arthroscopy
NCT07064993,Postoperative Pain
NCT02100293,Observation of Neuromuscular Block
NCT02100293,Intubation Condition
NCT02100293,Surgical Condition
NCT06528093,Pancreatic Ductal Adenocarcinoma
NCT02232893,Postoperative Ileus
NCT00589693,Ventilator-Associated Pneumonia
NCT02450214,"Pain, Postoperative"
NCT01971814,Ulcerative Colitis (UC)
NCT01971814,Inflammatory Bowel Disease
NCT07635914,Resistant Hypertension
NCT02134314,End Stage Renal Disease
NCT02134314,Kidney Failure
NCT02134314,Delayed Graft Function
NCT02134314,Ischemic Reperfusion Injury
NCT05970016,Patients with Advanced Solid Tumors
NCT01314716,Bronchiectasis
NCT02150616,Precapillary Pulmonary Hypertension
NCT02150616,Interstitial Lung Disease
NCT01988116,Chronic Kidney Disease
NCT01988116,Anemia of Chronic Disease
NCT00287716,Idiopathic Pulmonary Fibrosis
NCT02019706,ACTH
NCT02019706,Cushing's Syndrome
NCT00005906,Lymphangioleiomyomatosis
NCT00005906,Lymphangiomyomas
NCT00005906,Pleural Effusions
NCT00005906,Ascites
NCT04410406,Lymphatic Filariasis
NCT02128906,Squamous Cell Carcinoma
NCT01660906,Chronic Phase Chronic Myeloid Leukemia
NCT05658484,Multiple Sclerosis
NCT02345733,Ulcerative Colitis (UC)
NCT02493933,Infertility
NCT02279433,Solid Tumors
NCT05190133,Healthy
NCT04245033,Malaria
NCT02811133,Bipolar Disorder
NCT02811133,Anxiety Disorders
NCT02811133,Anxiety
NCT00615433,Schizophrenia
NCT01141049,Alcohol Dependence
NCT03163849,Chronic Hepatitis c
NCT06716749,Primary Total Knee Arthroplasty
NCT06716749,Intraosseous Morphine Injection
NCT06716749,Knee Osteoarthritis
NCT06834347,Chronic Rhinosinusitis With Nasal Polyps
NCT05939947,Advanced Liver Fibrosis
NCT05939947,Liver Cirrhosis
NCT02316249,Atrophy of Vagina
NCT02316249,Vaginal Ulceration
NCT02316249,Vaginitis
NCT04333147,"Arthritis, Rheumatoid"
NCT05206149,Hypopituitarism
NCT06070649,Alcohol Use Disorder (AUD)
NCT06070649,Alcohol-Related Disorders
NCT06070649,Alcohol Use
NCT05134649,Platysma Prominence
NCT07048249,Ewings Sarcoma
NCT07048249,Chemotherapy Induced Thrombocytopenia
NCT00465452,Parkinson Disease
NCT02564952,Epilepsy
NCT03866252,Major Depressive Disorder
NCT04156347,Retinoblastoma
NCT01972347,Melanoma
NCT00674947,Solid Tumors
NCT02386449,Bowel Preparation
NCT04601038,Mild Cognitive Impairment
NCT04601038,Alzheimer Disease
NCT04601038,Memory Impairment
NCT06513338,Autoimmune Diseases
NCT06768138,"Stroke, Acute Ischemic"
NCT03909334,Non Small Cell Lung Cancer
NCT03909334,EGFR Gene Mutation
NCT03909334,Advanced Cancer
NCT03909334,Metastatic Cancer
NCT00950534,"Diabetes Mellitus, Type 2"
NCT07689344,Skin Aging
NCT07689344,Wrinkles
NCT02865434,"Arthritis, Rheumatoid"
NCT07631364,Neisseria Gonorrhoeae (Ng) Infections
NCT05753644,Atrial Fibrillation
NCT06398444,Advanced Neuroendocrine Neoplasm
NCT02694809,Ductal Breast Carcinoma In Situ
NCT02694809,Postmenopausal
NCT03815344,Leiomyoma
NCT03815344,Laparoscopy
NCT03815344,Uterine Myomectomy
NCT04044534,PTSD
NCT06177964,Recurrent Supratentorial Glioblastoma
NCT04035564,Hyponatremia
NCT04035564,Premature
NCT02583009,Rosacea
NCT04315909,Diabetic Foot Ulcers
NCT04315909,Diabetic Wound
NCT01181609,Colorectal Cancer
NCT03980509,Breast Cancer
NCT04040309,Myofascial Pain
NCT04481009,Advanced Solid Tumors
NCT01403064,Oral Mucositis
NCT01154764,Healthy
NCT05188664,Advanced Solid Tumor
NCT05527899,Zinc Deficiency
NCT02626299,Preterm Birth
NCT01982799,Odontalgia
NCT03056599,Soft Tissue Sarcoma Adult
NCT01620099,Asthma
NCT02247232,Cervical Cancer
NCT00050232,Multiple Sclerosis
NCT02091999,Metastatic Urothelial Cancer and Other Malignant Solid Tumors
NCT02517099,Asthma
NCT00010699,Cardiovascular Diseases
NCT06904599,Acute Graft Versus Host Disease
NCT07208799,Mandible Fracture
NCT07208799,Edema Face
NCT07208799,Pain Management
NCT07208799,Corticosteroid Injection
NCT00124332,Coronary Atherosclerosis
NCT07323732,NSCLC
NCT07323732,"NSCLC, Stage I"
NCT07323732,NSCLC Stage II
NCT07323732,Non Small Cell Lung Cancer
NCT07323732,Non-small Cell Lung Cancer Stage I
NCT07323732,Non-small Cell Lung Cancer Stage II
NCT07323732,Interstitial Lung Disease
NCT07323732,Interstitial Lung Disease Due to Connective Tissue Disease (Disorder)
NCT01403363,Chronic Pain
NCT02683863,Multiple Sclerosis
NCT02915263,Diabetes Complications
NCT02915263,Diabetes Mellitus
NCT02915263,Diabetic Neuropathies
NCT02352987,Chronic Arsenic Poisoning
NCT07183787,Endometriosis
NCT01233687,"Carcinoma, Non-Small-Cell Lung"
NCT02267187,Facial Injuries
NCT01071187,Alcohol Dependence
NCT02713893,Healthy
NCT06431893,Homocystinuria
NCT00901693,Adenoviral Conjunctivitis
NCT03211793,Systemic Sclerosis
NCT03211793,Digital Ulcer
NCT02211521,"Osteoarthritis, Knee"
NCT07089121,Childhood-onset Systemic Lupus Erythematous
NCT07089121,ANCA-Associated Vasculitis (AAV)
NCT07089121,Juvenile Myasthenia Gravis
NCT07089121,Juvenile Dermatomyositis
NCT02578121,Multiple Myeloma
NCT04251221,Alcohol Drinking
NCT01811121,Glioblastoma
NCT02151721,Non-Small-Cell Lung Carcinoma
NCT03735121,Non-Small Cell Lung Cancer
NCT00775814,Obesity
NCT00775814,Hypertension
NCT05540184,AKI - Acute Kidney Injury
NCT02023684,Overweight and Obesity
NCT01494233,Irritable Bowel Syndrome
NCT00000333,Cocaine-Related Disorders
NCT01061333,Asthma
NCT01965652,Opioid-induced Constipation
NCT01557452,Juvenile Idiopathic Arthritis
NCT05024552,Acute Myeloid Leukemia With FLT3/ITD Mutation
NCT00308347,Type 2 Diabetes
NCT00308347,Nephropathy
NCT02923947,Solid Tumours
NCT00446147,Hand-foot Syndrome
NCT05326347,Schizophrenia
NCT02327247,Healthy
NCT05621447,Healthy Male Subjects
NCT06453447,Complex Regional Pain Syndromes
NCT06453447,Distal Radius Fractures
NCT04600947,Primary Mediastinal Large B-Cell Lymphoma (PMBCL)
NCT06371638,Postoperative Cognitive Dysfunction
NCT06371638,Postoperative Pain
NCT00002038,Candidiasis
NCT00002038,Mycoses
NCT00002038,HIV Infections
NCT01917058,Alopecia Areata
NCT04182958,Healthy Adult Male
NCT00429858,Pancreatic Cancer
NCT07610148,Breast Cancer
NCT04200248,Exudative Age-related Macular Degeneration
NCT06055348,Serous Ovarian Cancer
NCT06055348,Advanced Ovarian Cancer
NCT02083055,Anesthesia
NCT02083055,Hypotension
NCT03338855,"Diabetes Mellitus, Type 2"
NCT03338855,Skeletal Muscle Insulin Sensitivity
NCT02980926,"Anesthesia, Spinal"
NCT02980926,"Arthroplasty, Replacement, Knee"
NCT02980926,Pain Management
NCT02980926,Early Ambulation
NCT02980926,Ambulatory Surgical Procedures
NCT04091126,Multiple Myeloma
NCT01309126,Colorectal Cancer
NCT06756126,Atopic Dermatitis
NCT03642626,Acute Lymphoblastic Leukemia
NCT03642626,Large B-cell Lymphoma
NCT00444626,Facial Wrinkles at the Nasolabial Folds
NCT05968326,"Adenocarcinoma, Pancreatic Ductal"
NCT02724878,Advanced Non-Clear Cell Kidney Cancer
NCT05816785,Head and Neck Cancer
NCT05816785,Squamous Cell Carcinoma of Head and Neck
NCT04086485,Gastroenteropancreatico Tumors
NCT04086485,Neuroendocrine Tumors
NCT04086485,Neuroendocrine Neoplasms
NCT00110344,"Carcinoma, Renal Cell"
NCT04942834,"Atrial Fibrillation, Persistent"
NCT04942834,"Arrhythmias, Cardiac"
NCT05266534,Myoma
NCT01278134,"Hepatitis C, Chronic"
NCT01267734,Coronary Heart Disease
